"first_name","last_name","name","sum"
"Eduardo                                           ","Martins                                           ","Black Sabbath","5.9399999999999995"
"R                                                 ","Madhav                                            ","Pink Floyd","6.93"
"Aaron                                             ","Mitchell                                          ","The Rolling Stones","6.93"
"Frank                                             ","Ralston                                           ","UB40","9.9"
"Madalena                                          ","Sampaio                                           ","Black Sabbath","5.9399999999999995"
"Helena                                            ","Holý                                              ","Green Day","10.89"
"Puja                                              ","Srivastava                                        ","Kiss","8.91"
"Helena                                            ","Holý                                              ","Antônio Carlos Jobim","10.89"
"François                                          ","Tremblay                                          ","Frank Sinatra","6.93"
"Edward                                            ","Francis                                           ","R.E.M.","9.9"
"Stanisław                                         ","Wójcik                                            ","Jorge Ben","8.91"
"Johannes                                          ","Van der Berg                                      ","Queen","14.85"
"Dan                                               ","Miller                                            ","Led Zeppelin","10.89"
"Kathy                                             ","Chase                                             ","System Of A Down","8.91"
"Roberto                                           ","Almeida                                           ","Scorpions","8.91"
"Roberto                                           ","Almeida                                           ","Iron Maiden","5.9399999999999995"
"Ladislav                                          ","Kovács                                            ","AC/DC","5.9399999999999995"
"Marc                                              ","Dubois                                            ","Led Zeppelin","4.95"
"Aaron                                             ","Mitchell                                          ","Kiss","6.93"
"Manoj                                             ","Pareek                                            ","R.E.M.","18.810000000000002"
"Puja                                              ","Srivastava                                        ","O Rappa","9.9"
"Aaron                                             ","Mitchell                                          ","Men At Work","17.82"
"Enrique                                           ","Muñoz                                             ","The Posies","7.92"
"Puja                                              ","Srivastava                                        ","Apocalyptica","9.9"
"Edward                                            ","Francis                                           ","Buddy Guy","9.9"
"Michelle                                          ","Brooks                                            ","Velvet Revolver","17.82"
"Enrique                                           ","Muñoz                                             ","Cidade Negra","8.91"
"João                                              ","Fernandes                                         ","Amy Winehouse","4.95"
"Helena                                            ","Holý                                              ","Kiss","10.89"
"Isabelle                                          ","Mercier                                           ","Deep Purple","84.14999999999999"
"Dan                                               ","Miller                                            ","Red Hot Chili Peppers","27.72"
"Manoj                                             ","Pareek                                            ","Black Label Society","9.9"
"Puja                                              ","Srivastava                                        ","The Police","8.91"
"Phil                                              ","Hughes                                            ","The Police","172.26000000000002"
"Ladislav                                          ","Kovács                                            ","Judas Priest","6.93"
"Lucas                                             ","Mancini                                           ","The Rolling Stones","230.66999999999993"
"Julia                                             ","Barnett                                           ","The Who","4.95"
"Hugh                                              ","O'Reilly                                          ","The Rolling Stones","10.89"
"Ladislav                                          ","Kovács                                            ","System Of A Down","19.8"
"Roberto                                           ","Almeida                                           ","Nirvana","5.9399999999999995"
"Niklas                                            ","Schröder                                          ","The Rolling Stones","6.93"
"Phil                                              ","Hughes                                            ","Queen","126.72"
"Dan                                               ","Miller                                            ","Aerosmith","10.89"
"Alexandre                                         ","Rocha                                             ","Metallica","63.36000000000001"
"R                                                 ","Madhav                                            ","Falamansa","10.89"
"John                                              ","Gordon                                            ","Karsh Kale","9.9"
"Isabelle                                          ","Mercier                                           ","Caetano Veloso","2.9699999999999998"
"Mark                                              ","Taylor                                            ","Itzhak Perlman","6.93"
"Wyatt                                             ","Girard                                            ","Green Day","25.740000000000002"
"Dan                                               ","Miller                                            ","Luciana Souza/Romero Lubambo","3.96"
"Dan                                               ","Miller                                            ","AC/DC","18.810000000000002"
"João                                              ","Fernandes                                         ","Red Hot Chili Peppers","7.92"
"Luís                                              ","Gonçalves                                         ","Foo Fighters","8.91"
"Bjørn                                             ","Hansen                                            ","Amy Winehouse","9.9"
"R                                                 ","Madhav                                            ","U2","10.89"
"Tim                                               ","Goyer                                             ","Jimi Hendrix","4.95"
"Diego                                             ","Gutiérrez                                         ","James Brown","9.9"
"Dominique                                         ","Lefebvre                                          ","System Of A Down","5.9399999999999995"
"Kara                                              ","Nielsen                                           ","U2","11.879999999999999"
"Edward                                            ","Francis                                           ","The Police","9.9"
"Tim                                               ","Goyer                                             ","The Rolling Stones","142.55999999999997"
"Aaron                                             ","Mitchell                                          ","Soundgarden","3.96"
"Luis                                              ","Rojas                                             ","The Posies","10.89"
"Kathy                                             ","Chase                                             ","Jota Quest","5.9399999999999995"
"Joakim                                            ","Johansson                                         ","Buddy Guy","8.91"
"Leonie                                            ","Köhler                                            ","Black Sabbath","5.9399999999999995"
"Mark                                              ","Philips                                           ","Alice In Chains","5.9399999999999995"
"Michelle                                          ","Brooks                                            ","Metallica","7.92"
"Terhi                                             ","Hämäläinen                                        ","Metallica","18.810000000000002"
"Edward                                            ","Francis                                           ","Jimi Hendrix","10.89"
"Heather                                           ","Leacock                                           ","Foo Fighters","2.9699999999999998"
"R                                                 ","Madhav                                            ","Iron Maiden","8.91"
"Luis                                              ","Rojas                                             ","AC/DC","9.899999999999999"
"Alexandre                                         ","Rocha                                             ","The Rolling Stones","14.85"
"Niklas                                            ","Schröder                                          ","Green Day","10.89"
"Astrid                                            ","Gruber                                            ","Iron Maiden","5.9399999999999995"
"Luis                                              ","Rojas                                             ","Miles Davis","21.78"
"Michelle                                          ","Brooks                                            ","The King's Singers","7.92"
"João                                              ","Fernandes                                         ","Def Leppard","4.95"
"John                                              ","Gordon                                            ","The Rolling Stones","2.9699999999999998"
"Isabelle                                          ","Mercier                                           ","Black Sabbath","6.93"
"Helena                                            ","Holý                                              ","Os Mutantes","7.92"
"Aaron                                             ","Mitchell                                          ","Amy Winehouse","6.93"
"Bjørn                                             ","Hansen                                            ","Jorge Ben","1.98"
"John                                              ","Gordon                                            ","Soundgarden","7.92"
"Victor                                            ","Stevens                                           ","Guns N' Roses","2.9699999999999998"
"Michelle                                          ","Brooks                                            ","Caetano Veloso","8.91"
"Jack                                              ","Smith                                             ","Accept","10.89"
"Patrick                                           ","Gray                                              ","Frank Sinatra","8.91"
"Ladislav                                          ","Kovács                                            ","Nirvana","6.93"
"R                                                 ","Madhav                                            ","The Doors","10.89"
"Johannes                                          ","Van der Berg                                      ","Faith No More","7.92"
"Puja                                              ","Srivastava                                        ","Guns N' Roses","18.810000000000002"
"Diego                                             ","Gutiérrez                                         ","Tim Maia","8.91"
"Daan                                              ","Peeters                                           ","Black Label Society","10.89"
"Mark                                              ","Taylor                                            ","Ed Motta","10.89"
"Wyatt                                             ","Girard                                            ","Amy Winehouse","29.7"
"Julia                                             ","Barnett                                           ","Jamiroquai","2.9699999999999998"
"Emma                                              ","Jones                                             ","Alice In Chains","1.98"
"Jack                                              ","Smith                                             ","Alice In Chains","20.79"
"Marc                                              ","Dubois                                            ","Def Leppard","3.96"
"Puja                                              ","Srivastava                                        ","Santana","9.9"
"Stanisław                                         ","Wójcik                                            ","Chris Cornell","10.89"
"Enrique                                           ","Muñoz                                             ","Iron Maiden","18.810000000000002"
"Niklas                                            ","Schröder                                          ","Led Zeppelin","19.8"
"Leonie                                            ","Köhler                                            ","Apocalyptica","0.99"
"R                                                 ","Madhav                                            ","Kiss","396.0000000000001"
"Stanisław                                         ","Wójcik                                            ","Jimi Hendrix","14.850000000000001"
"Isabelle                                          ","Mercier                                           ","Metallica","17.82"
"João                                              ","Fernandes                                         ","Marvin Gaye","5.9399999999999995"
"Diego                                             ","Gutiérrez                                         ","AC/DC","6.93"
"Martha                                            ","Silk                                              ","The Rolling Stones","17.82"
"John                                              ","Gordon                                            ","Joe Satriani","6.93"
"Puja                                              ","Srivastava                                        ","Cake","9.9"
"Camille                                           ","Bernard                                           ","Motörhead","9.9"
"Kathy                                             ","Chase                                             ","The Doors","9.9"
"R                                                 ","Madhav                                            ","Motörhead","16.83"
"Astrid                                            ","Gruber                                            ","Joe Satriani","9.9"
"Mark                                              ","Taylor                                            ","Santana","6.93"
"Terhi                                             ","Hämäläinen                                        ","Queen","13.86"
"Luis                                              ","Rojas                                             ","Creedence Clearwater Revival","8.91"
"Steve                                             ","Murray                                            ","R.E.M.","17.82"
"Kara                                              ","Nielsen                                           ","Foo Fighters","5.9399999999999995"
"Camille                                           ","Bernard                                           ","Metallica","9.9"
"Phil                                              ","Hughes                                            ","Led Zeppelin","11.879999999999999"
"Leonie                                            ","Köhler                                            ","Motörhead","8.91"
"Victor                                            ","Stevens                                           ","The Clash","26.73"
"Jack                                              ","Smith                                             ","Queen","19.8"
"Heather                                           ","Leacock                                           ","Nirvana","10.89"
"Camille                                           ","Bernard                                           ","Luciano Pavarotti","7.92"
"Bjørn                                             ","Hansen                                            ","Pink Floyd","9.9"
"François                                          ","Tremblay                                          ","Pearl Jam","2.9699999999999998"
"Helena                                            ","Holý                                              ","Gonzaguinha","10.89"
"Madalena                                          ","Sampaio                                           ","Yo-Yo Ma","1.98"
"Emma                                              ","Jones                                             ","Pink Floyd","80.18999999999998"
"Martha                                            ","Silk                                              ","Frank Sinatra","18.810000000000002"
"Astrid                                            ","Gruber                                            ","Raimundos","8.91"
"Terhi                                             ","Hämäläinen                                        ","Faith No More","10.89"
"Hannah                                            ","Schneider                                         ","Alanis Morissette","12.870000000000001"
"Marc                                              ","Dubois                                            ","The Who","17.82"
"Luis                                              ","Rojas                                             ","Metallica","4.95"
"François                                          ","Tremblay                                          ","Soundgarden","12.870000000000001"
"Niklas                                            ","Schröder                                          ","Pink Floyd","14.85"
"Wyatt                                             ","Girard                                            ","Godsmack","119.79000000000002"
"Helena                                            ","Holý                                              ","Jimi Hendrix","286.10999999999984"
"Steve                                             ","Murray                                            ","Velvet Revolver","8.91"
"Leonie                                            ","Köhler                                            ","Godsmack","18.810000000000002"
"Jack                                              ","Smith                                             ","Santana","9.9"
"Richard                                           ","Cunningham                                        ","Van Halen","11.88"
"Steve                                             ","Murray                                            ","Nirvana","8.91"
"Hugh                                              ","O'Reilly                                          ","Wilhelm Kempff","9.9"
"Mark                                              ","Taylor                                            ","The Clash","320.75999999999993"
"Diego                                             ","Gutiérrez                                         ","Frank Sinatra","0.99"
"Patrick                                           ","Gray                                              ","The Rolling Stones","21.78"
"Frank                                             ","Harris                                            ","Deep Purple","10.89"
"Michelle                                          ","Brooks                                            ","Yo-Yo Ma","8.91"
"Leonie                                            ","Köhler                                            ","The Clash","29.700000000000003"
"Leonie                                            ","Köhler                                            ","Frank Sinatra","8.91"
"Frank                                             ","Harris                                            ","Van Halen","286.10999999999984"
"Luis                                              ","Rojas                                             ","Guns N' Roses","30.689999999999998"
"Kathy                                             ","Chase                                             ","Pink Floyd","27.72"
"Marc                                              ","Dubois                                            ","Van Halen","8.91"
"Luis                                              ","Rojas                                             ","Aerosmith","25.740000000000002"
"John                                              ","Gordon                                            ","Guns N' Roses","17.82"
"Leonie                                            ","Köhler                                            ","Green Day","7.92"
"Michelle                                          ","Brooks                                            ","Eric Clapton","9.9"
"Helena                                            ","Holý                                              ","U2","32.67"
"Michelle                                          ","Brooks                                            ","Audioslave","8.91"
"Hugh                                              ","O'Reilly                                          ","Raul Seixas","3.96"
"Fernanda                                          ","Ramos                                             ","Red Hot Chili Peppers","232.64999999999995"
"Helena                                            ","Holý                                              ","Alanis Morissette","10.89"
"Wyatt                                             ","Girard                                            ","Creedence Clearwater Revival","3.96"
"Heather                                           ","Leacock                                           ","Jamiroquai","8.91"
"Mark                                              ","Philips                                           ","The Rolling Stones","5.9399999999999995"
"Manoj                                             ","Pareek                                            ","Nirvana","16.83"
"Dominique                                         ","Lefebvre                                          ","The Who","21.78"
"Mark                                              ","Philips                                           ","Amy Winehouse","8.91"
"Kara                                              ","Nielsen                                           ","Guns N' Roses","1.98"
"Mark                                              ","Taylor                                            ","Aerosmith","222.74999999999994"
"Diego                                             ","Gutiérrez                                         ","Judas Priest","9.9"
"Edward                                            ","Francis                                           ","Alanis Morissette","167.31000000000003"
"Emma                                              ","Jones                                             ","Cake","9.9"
"Martha                                            ","Silk                                              ","Metallica","2.9699999999999998"
"Kathy                                             ","Chase                                             ","Marvin Gaye","10.89"
"Isabelle                                          ","Mercier                                           ","The Black Crowes","9.9"
"Helena                                            ","Holý                                              ","Santana","21.78"
"R                                                 ","Madhav                                            ","The Rolling Stones","10.89"
"Frank                                             ","Harris                                            ","Def Leppard","6.93"
"Fernanda                                          ","Ramos                                             ","Jorge Ben","6.93"
"Alexandre                                         ","Rocha                                             ","The Who","11.879999999999999"
"Edward                                            ","Francis                                           ","Lenny Kravitz","18.810000000000002"
"Alexandre                                         ","Rocha                                             ","Def Leppard","2.9699999999999998"
"Heather                                           ","Leacock                                           ","Faith No More","7.92"
"Michelle                                          ","Brooks                                            ","Van Halen","8.91"
"Hugh                                              ","O'Reilly                                          ","James Brown","10.89"
"Niklas                                            ","Schröder                                          ","The Police","9.9"
"Stanisław                                         ","Wójcik                                            ","Red Hot Chili Peppers","28.71"
"Edward                                            ","Francis                                           ","Red Hot Chili Peppers","14.850000000000001"
